datetime,open,high,low,close,volume,RSI_rsi,SMA_sma,EMA_ema,MACD_macd,MACD_macd_signal,MACD_macd_hist,STOCH_slow_k,STOCH_slow_d,ADX_adx,CCI_cci,ATR_atr,BBANDS_upper_band,BBANDS_middle_band,BBANDS_lower_band,Date,Time
2025-04-21 09:30:00,98.735,99.43,98.56,99.035896,19486326,25.10193,101.061622,100.88029,-0.25669643,-0.071009463,-0.18568696,14.50955,28.38687,16.58131,-393.83314,0.58192116,102.79509,101.45573,100.11637,2025-04-21,09:30
2025-04-21 09:35:00,99.035004,99.285,97.465,98.15,9506398,20.98384,100.69399,100.33423,-0.46661553,-0.15013068,-0.31648486,15.72915,25.013040,20.37638,-353.26276,0.67035589,103.18435,101.25541,99.32648,2025-04-21,09:35
2025-04-21 09:40:00,98.1334,98.25,97.72,97.85,4645300,19.79926,100.32010,99.83738,-0.64969638,-0.25004382,-0.39965256,8.84046,13.026387,23.90037,-262.20977,0.66033038,103.40616,101.033479,98.66080,2025-04-21,09:40
2025-04-21 09:45:00,97.8579,98.19,97.26,98.050003,6540006,22.92320,99.94343,99.47991,-0.76977706,-0.35399047,-0.41578660,17.79283,14.12081,27.37123,-195.014884,0.67959252,103.45578,100.82297,98.19017,2025-04-21,09:45
2025-04-21 09:50:00,98.045601,98.13,97.2845,97.37,4591032,20.061973,99.48843,99.057927,-0.90933002,-0.46505838,-0.44427164,2.47749,9.70359,30.59418,-162.42836,0.69144285,103.53202,100.58158,97.63114,2025-04-21,09:50
2025-04-21 09:55:00,97.36,97.49,96.8,96.84,6644740,18.15942,98.99177,98.61434,-1.050583,-0.58216337,-0.46841999,0.81619053,7.028840,33.78501,-153.019800,0.69133941,103.64151,100.33251,97.023517,2025-04-21,09:55
2025-04-21 10:00:00,96.84,97.050003,96.43,96.72,6301127,17.74903,98.51732,98.23547,-1.15885,-0.69750105,-0.46135069,5.50287,2.93218,36.88320,-137.94682,0.68624394,103.66541,100.078279,96.49115,2025-04-21,10:00
2025-04-21 10:05:00,96.725,96.865,96.36,96.4407,4177840,16.79745,97.98518,97.87652,-1.25275,-0.80855120,-0.44420060,1.51116,2.61007,39.78515,-123.26738,0.67329775,103.69000,99.82926,95.96853,2025-04-21,10:05
2025-04-21 10:10:00,96.44,96.65,95.91,96.2101,7011913,16.033169,97.40741,97.54323,-1.33044,-0.91292879,-0.41751037,5.18299,4.065673,42.63422,-116.48737,0.67806204,103.64241,99.56226,95.48212,2025-04-21,10:10
2025-04-21 10:15:00,96.205,96.31,95.74,95.995,5722222,15.33239,97.069533,97.23359,-1.39330,-1.0090035,-0.38429877,4.33681,3.67699,45.33444,-110.62661,0.67034330,103.53190,99.28251,95.033133,2025-04-21,10:15
2025-04-21 10:20:00,95.9909,96.29,95.865,95.985,3715168,15.29891,96.82898,96.98387,-1.42747,-1.092698,-0.33477622,4.22418,4.58133,47.84178,-98.89869,0.65281900,103.40411,99.021015,94.63792,2025-04-21,10:20
2025-04-21 10:25:00,95.98,96.16,95.57,95.835,5131271,14.77765,96.60509,96.75410,-1.44994,-1.16415,-0.28579776,4.43885,4.33328,50.26841,-95.44993,0.64833221,103.21655,98.75002,94.28349,2025-04-21,10:25
2025-04-21 10:30:00,95.835,96.050003,95.65,95.95,3847325,17.10935,96.37175,96.59328,-1.44185,-1.21969,-0.22216482,6.36511,5.0093816,52.52171,-87.21812,0.63059430,102.91835,98.47458,94.030819,2025-04-21,10:30
2025-04-21 10:35:00,95.955,96.4,95.95,96.38,3947119,25.33551,96.26175,96.55062,-1.38478,-1.25271,-0.13207340,20.98439,10.59612,53.46704,-70.31175,0.61769504,102.57896,98.23283,93.88671,2025-04-21,10:35
2025-04-21 10:40:00,96.38,96.5,96.050003,96.1147,3148212,23.76827,96.18117,96.46344,-1.34545,-1.27125,-0.074192276,14.66218,14.0038942,54.031604,-66.68054,0.60571660,102.14333,97.96657,93.78981,2025-04-21,10:40
2025-04-21 10:45:00,96.1144,96.34,95.9,95.98,2762126,22.99064,96.098944,96.36675,-1.31004,-1.27901,-0.031030490,15.29864,16.98174,54.66893,-68.029869,0.59387933,101.62754,97.69232,93.75710,2025-04-21,10:45
2025-04-21 10:50:00,95.975,96.16,95.75,96.1099,2570874,25.52130,96.062189,96.31538,-1.25701,-1.27461,0.017599453,20.60691,16.85591,55.37260,-66.42785,0.58074536,101.051543,97.43232,93.81309,2025-04-21,10:50
2025-04-21 10:55:00,96.089996,96.42,96.080002,96.365,2597138,30.36110,96.079400,96.32530,-1.18079,-1.25585,0.075057222,31.054646,22.32007,55.16654,-49.14579,0.56354900,100.45396,97.20107,93.94817,2025-04-21,10:55
2025-04-21 11:00:00,96.365,96.42,95.925,96.1201,2479105,28.44977,96.093300,96.28426,-1.12715,-1.23011,0.10295666,28.65119,26.77092,55.12739,-52.86819,0.55865229,99.64880,96.94557,94.24234,2025-04-21,11:00
2025-04-21 11:05:00,96.13,96.39,96.07,96.3535,2480195,32.79226,96.13424,96.29811,-1.053664,-1.19482,0.14115593,52.93911,37.54832,55.091050,-39.88230,0.54160568,98.46352,96.69274,94.92197,2025-04-21,11:05
2025-04-21 11:10:00,96.36,96.57,96.15,96.17,2990559,31.18952,96.17147,96.27249,-0.99871849,-1.15560,0.15688114,46.33199,42.64076,54.42817,-31.75934,0.53291943,97.96722,96.54945,95.13168,2025-04-21,11:10
2025-04-21 11:15:00,96.175,96.42,96.095001,96.35,2143656,34.56784,96.21591,96.28799,-0.92992962,-1.11047,0.18053600,72.22199,57.16437,53.88386,-26.51967,0.51806782,97.67324,96.45945,95.24566,2025-04-21,11:15
2025-04-21 11:20:00,96.345,96.37,96.019997,96.105,1926244,32.24720,96.18536,96.25139,-0.88498149,-1.065369,0.18038730,53.50037,57.35145,53.47840,-39.66630,0.50606341,97.41202,96.37220,95.33238,2025-04-21,11:20
2025-04-21 11:25:00,96.1099,96.12,95.7701,95.89,2267392,30.32329,96.16039,96.17911,-0.85683178,-1.023661,0.16682962,31.99997,52.57411,53.42103,-89.73285,0.49490883,96.98397,96.26420,95.54443,2025-04-21,11:25
2025-04-21 11:30:00,95.89,96.040001,95.75,95.7685,2078353,29.26089,96.13689,96.096992,-0.83470485,-0.98587008,0.15116524,19.85016,35.11683,53.39282,-112.53493,0.48027255,96.72911,96.18412,95.63914,2025-04-21,11:30
2025-04-21 11:35:00,95.7601,96.0,95.75,95.945,1965641,32.93670,96.11857,96.066593,-0.79377698,-0.94745146,0.15367448,32.065082,27.97174,53.36663,-93.45921,0.46382451,96.60241,96.13937,95.67634,2025-04-21,11:35
2025-04-21 11:40:00,95.9447,96.029999,95.815,95.825,2013611,31.72947,96.058567,96.018274,-0.76223797,-0.91040877,0.14817079,9.14597,20.35374,53.20377,-88.84527,0.44605107,96.49304,96.094625,95.69621,2025-04-21,11:40
2025-04-21 11:45:00,95.825,95.9703,95.74,95.9501,2402099,34.42786,96.039678,96.0046399,-0.71886141,-0.87209930,0.15323788,25.31391,22.17499,53.16785,-84.0059251,0.43064035,96.43962,96.070095,95.70057,2025-04-21,11:45
2025-04-21 11:50:00,95.9526,95.98,95.8,95.875,1908910,33.57005,95.98651,95.97871,-0.68267596,-0.83421463,0.15153867,16.26528,16.90839,53.084560,-77.38368,0.41273749,96.42633,96.053340,95.68035,2025-04-21,11:50
2025-04-21 11:55:00,95.8701,96.029999,95.805,95.8374,1863643,33.12509,95.94956,95.95045,-0.64954500,-0.79728070,0.14773570,11.73545,17.77155,52.73832,-69.38506,0.39932756,96.42954,96.045460,95.66138,2025-04-21,11:55
2025-04-21 12:00:00,95.84,96.2,95.84,96.175,1999173,40.72281,95.93011,95.99536,-0.58925436,-0.75567543,0.16642108,52.41015,26.80363,51.53639,8.24861,0.39670377,96.44197,96.054960,95.66795,2025-04-21,12:00
2025-04-21 12:05:00,96.16,96.24,96.059998,96.2044,1868731,41.34766,95.94116,96.037168,-0.53295797,-0.71113194,0.17817397,55.95183,40.032478,50.21997,44.64712,0.38122496,96.45186,96.073430,95.69501,2025-04-21,12:05
2025-04-21 12:10:00,96.205,96.28,96.084999,96.17,1833845,40.80556,95.97227,96.063734,-0.48552175,-0.66600990,0.18048815,51.80715,53.38971,48.79089,43.97088,0.36792315,96.46065,96.084430,95.70821,2025-04-21,12:10
2025-04-21 12:15:00,96.175,96.28,95.92,95.97,1957373,37.71015,95.99466,96.044988,-0.45877778,-0.62456348,0.16578570,27.71119,45.15672,47.90289,-8.22143,0.36735726,96.41749,96.063931,95.71037,2025-04-21,12:15
2025-04-21 12:20:00,95.9783,96.14,95.92,96.019997,1715809,38.95676,96.0029890,96.039989,-0.42860805,-0.58537239,0.15676434,41.17627,40.23154,47.078325,-18.79775,0.35683182,96.41245,96.059195,95.70594,2025-04-21,12:20
2025-04-21 12:25:00,96.014999,96.059998,95.76,95.8,1779286,35.58226,96.00021193,95.99199,-0.41763572,-0.55182506,0.13418933,9.52456,26.13734,46.72230,-85.87821,0.35277208,96.41985,96.050195,95.68054,2025-04-21,12:25
2025-04-21 12:30:00,95.8,96.080002,95.772,95.945,1777956,39.31348,95.99964,95.98259,-0.39271311,-0.52000267,0.12728956,37.96324,29.55469,46.27003,-54.58987,0.34957398,96.41326,96.041950,95.67064,2025-04-21,12:30
2025-04-21 12:35:00,95.945,96.18,95.885,96.145,1448883,44.12124,96.029644,96.015074,-0.35275730,-0.48655360,0.13379629,74.99965,40.82915,45.24212,15.45395,0.34567571,96.37539,96.030950,95.68651,2025-04-21,12:35
