Date,Close_AMD,High_AMD,Low_AMD,Open_AMD,Volume_AMD,Period_AMD,Shares_Out_AMD,Market_Cap_AMD,Trailing_PE_AMD,Forward_PE_AMD,PS_Ratio_AMD,Total_Debt_AMD,Cash_Equivalents_AMD,TD_CE_Missing_AMD,Shares_Out_Missing_AMD,PE_Missing_AMD,PS_Missing_AMD,EV_AMD
1999-01-20,11.0,11.21875,10.375,11.0625,10568400,before_trump,,,11.0,2.1568627450980395,,0.0,0.0,1,1,0,1,
1999-01-21,10.5,10.625,9.875,10.4375,13118200,before_trump,,,10.5,2.058823529411765,,0.0,0.0,1,1,0,1,
1999-01-22,10.78125,11.03125,10.3125,10.375,9179000,before_trump,,,10.78125,2.1139705882352944,,0.0,0.0,1,1,0,1,
1999-01-25,10.71875,11.25,10.6875,11.0625,7139000,before_trump,,,10.71875,2.10171568627451,,0.0,0.0,1,1,0,1,
1999-01-26,11.0,11.25,10.6875,10.875,4653600,before_trump,,,11.0,2.1568627450980395,,0.0,0.0,1,1,0,1,
1999-01-27,10.625,11.125,10.59375,11.0625,3121600,before_trump,,,10.625,2.0833333333333335,,0.0,0.0,1,1,0,1,
1999-01-28,11.4375,11.5,10.90625,11.0,9317200,before_trump,,,11.4375,2.2426470588235294,,0.0,0.0,1,1,0,1,
1999-01-29,11.46875,11.75,11.25,11.5625,6167600,before_trump,,,11.46875,2.248774509803922,,0.0,0.0,1,1,0,1,
1999-02-01,12.4375,12.71875,12.15625,12.46875,17797600,before_trump,,,12.4375,2.4387254901960786,,0.0,0.0,1,1,0,1,
1999-02-02,12.15625,12.65625,11.96875,12.53125,6877800,before_trump,,,12.15625,2.383578431372549,,0.0,0.0,1,1,0,1,
1999-02-03,10.46875,12.25,10.0,12.0,25487600,before_trump,,,10.46875,2.0526960784313726,,0.0,0.0,1,1,0,1,
1999-02-04,9.46875,9.5,8.75,8.875,25440200,before_trump,,,9.46875,1.8566176470588236,,0.0,0.0,1,1,0,1,
1999-02-05,8.40625,8.625,8.25,8.5,20294400,before_trump,,,8.40625,1.6482843137254903,,0.0,0.0,1,1,0,1,
