Date,Time,open,high,low,close,volume,RSI_rsi,SMA_sma,CCI_cci,ATR_atr,BBANDS_upper_band,BBANDS_middle_band,BBANDS_lower_band,EMA_ema,MACD_macd,MACD_macd_signal,MACD_macd_hist,STOCH_slow_k,STOCH_slow_d,ADX_adx
2023-05-23,09:30,30.049999,30.195,29.9228,29.945,5329143.0,52.75545,30.12611,32.91445,0.25825708,30.47633,29.92025,29.36417,30.10358,0.20120333,0.19339586,0.0078074753,36.075888,67.46385,36.83434
2023-05-23,10:30,29.945,29.945,29.8,29.885,3421594.0,51.056037,30.12333,-23.87801,0.25016732,30.4483,29.94425,29.4402,30.059863,0.17258593,0.18923387,-0.016647946,28.48103,48.8874,35.15497
2023-05-23,11:30,29.89,29.97,29.775,29.855,3140909.0,50.18552,30.12389,-36.56541,0.24622677,30.43116,29.96,29.48884,30.01889,0.14580487,0.18054807,-0.0347432,16.19713,26.91801,33.4522
2023-05-23,12:30,29.8537,29.94,29.785,29.845,2602915.0,49.88022,30.092778,-52.9917,0.23971063,30.39122,29.98026,29.56929,29.98411,0.12236323,0.16891111,-0.046547872,10.37031,18.34949,31.87106
2023-05-23,13:30,29.84,29.86,29.555,29.575,2524338.0,42.38339,30.021667,-145.89814,0.24437417,30.39471,29.97901,29.5633,29.90229,0.081064477,0.15134178,-0.070277303,2.23469,9.60071,30.04994
2023-05-23,14:30,29.575,29.63,29.49,29.57,3384677.0,42.25671,29.94333,-184.70323,0.23691883,30.40606,29.97425,29.54245,29.83583,0.047385144,0.13055045,-0.083165308,8.33332,6.97944,28.66745
2023-05-23,15:30,29.575,29.65,29.5,29.52,4411632.0,40.93918,29.86389,-161.41382,0.23071032,30.40249,29.94051,29.47852,29.77267,0.016469658,0.10773429,-0.091264636,3.12507,4.56436,27.26464
2023-05-24,09:30,29.31,29.49,28.975,29.01,6216178.0,30.49482,29.72056,-254.13928,0.25315959,30.51493,29.90301,29.29108,29.62013,-0.048623345,0.076462766,-0.12508611,2.37287,4.61042,27.90223
2023-05-24,10:30,29.0049992,29.07,28.85,29.035,3629861.0,31.41845,29.58222,-238.50277,0.25079099,30.57861,29.85926,29.1399,29.50311,-0.097073752,0.041755462,-0.13882921,11.56246,5.6868,28.8184
2023-05-24,11:30,29.031601,29.094999,28.92,28.975,2094281.0,30.37518,29.47444,-181.72231,0.2453773,30.62846,29.81301,28.99755,29.39748,-0.1387135,0.0056616695,-0.14437517,7.8125,7.24928,29.51749
2023-05-24,12:30,28.975,29.025,28.85,28.935,2035883.0,29.66788,29.36889,-155.95093,0.24035029,30.6646,29.76525,28.8659,29.30499,-0.17294741,-0.030060147,-0.14288727,5.66661,8.34719,30.35745
2023-05-24,13:30,28.93,29.040001,28.88,28.895,1511154.0,28.94213,29.26222,-130.42447,0.23461111,30.68174,29.71175,28.74176,29.22299,-0.20098875,-0.064245867,-0.13674288,3.0000050863,5.49304,31.037091
2023-05-24,14:30,28.895,29.01,28.82,29.0049992,2490169.0,33.74229,29.16889,-111.78575,0.23142464,30.67879,29.6665,28.65421,29.17939,-0.21189316,-0.093775324,-0.11811783,12.45787,7.041494,31.84455
2023-05-24,15:30,29.01,29.08,28.9,28.98,4074957.0,33.19347,29.10278,-93.053085,0.22775148,30.67403,29.623,28.57197,29.13951,-0.22001603,-0.11902347,-0.10099257,11.63635,9.03141,32.095497
2023-05-25,09:30,28.29,28.29,27.14,27.315,25712453.0,15.32063,28.85222,-231.55209,0.3429121,30.91103,29.4825,28.053975,28.77461,-0.35669324,-0.16655742,-0.19013582,6.18379,10.09267,34.96285
2023-05-25,10:30,27.32,27.365,26.885,26.9401,11981285.0,13.5513,28.56557,-231.40568,0.35270406,31.084791,29.31875,27.55272,28.40771,-0.48961826,-0.23116959,-0.25844867,1.78605,6.53539,37.78749
2023-05-25,11:30,26.95,27.19,26.855,27.155,7810319.0,19.30424,28.35946,-194.97878,0.35143955,31.1057,29.16276,27.21981,28.15717,-0.571039,-0.29914347,-0.27189553,9.72451,5.89811,40.42903
2023-05-25,12:30,27.1533,27.24,26.93,27.2,5579215.0,20.49733,28.15557,-164.67135,0.34847954,31.066109,29.011005,26.9559,27.96573,-0.62473286,-0.36426135,-0.26047151,11.4809,7.66382,42.65637
2023-05-25,13:30,27.205,27.55,27.1635,27.38,5693926.0,25.25757,27.97834,-123.27103,0.35119525,30.94777,28.86501,26.78224,27.84859,-0.64532239,-0.42047356,-0.22484883,18.78353,13.32965,43.40514
2023-05-25,14:30,27.385,27.54,27.27,27.49,4974673.0,28.091183,27.81779,-98.98561,0.34539562,30.78409,28.7255,26.66692,27.77687,-0.64532471,-0.46544379,-0.17988092,22.71915,17.66119,44.10043
2023-05-25,15:30,27.49,27.53,27.39,27.41,7857761.0,27.28113,27.65279,-84.68095,0.3307246,30.65355,28.59875,26.54396,27.7035,-0.64435416,-0.50122586,-0.1431283,21.062628,20.8551,44.74606
2023-05-26,09:30,27.44,28.17,27.1,28.115,15738848.0,42.90609,27.5539,-51.93194,0.38352996,30.48681,28.51025,26.5337,27.7858,-0.58001138,-0.51698296,-0.063028415,56.25002,33.34393,42.96911
2023-05-26,10:30,28.1199,28.42,27.985,28.1983,10371986.0,44.42554,27.46704,-17.51603,0.38720636,30.30814,28.42742,26.5467,27.8683,-0.51634557,-0.51685549,0.00050991682,59.96875,45.76046,40.60209
2023-05-26,11:30,28.2,28.58,28.2,28.49,5982046.0,49.49444,27.5976,5.05767,0.38681308,30.12535,28.35967,26.59399,27.99264,-0.43731112,-0.50094661,0.06363549,73.48314,63.23397,37.97607
2023-05-26,12:30,28.485,28.6,28.41,28.485,4175361.0,49.41126,27.76926,17.0086953,0.37275504,29.98252,28.30517,26.62782,28.09111,-0.37080474,-0.47491824,0.1041135,73.25846,68.90345,35.48353
