,Date,Time,open,high,low,close,volume,RSI_rsi,SMA_sma,EMA_ema,MACD_macd,MACD_macd_signal,MACD_macd_hist,STOCH_slow_k,STOCH_slow_d,ADX_adx,CCI_cci,ATR_atr,BBANDS_upper_band,BBANDS_middle_band,BBANDS_lower_band
0,2023-05-22,09:30,30.901,31.52,30.68,31.39513,145468850.0,65.79526,31.31563,31.27555,0.47700234,0.54724325,-0.070240904,62.29355,64.44869,40.40849,26.16789,0.3571965,32.24575,31.029557,29.81337
1,2023-05-22,10:30,31.395,31.47,31.232,31.35269,48675280.0,64.5589,31.27948,31.29098,0.45342475,0.52847955,-0.0750548,58.59662,61.15217,37.53837,42.34475,0.3486825,32.18723,31.10803,30.02883
2,2023-05-22,11:30,31.354,31.3683,31.183,31.239,38064010.0,61.23924,31.28781,31.28058,0.42071598,0.50692683,-0.086210854,48.69357,56.52791,35.0044653,23.46293,0.33701252,32.12167,31.17018,30.21869
3,2023-05-22,12:30,31.236,31.304,31.15,31.2805,32525600.0,62.0071993,31.30287,31.28057,0.39360533,0.48426253,-0.0906572,52.30835,53.19951,32.7656,11.077173,0.32394026,32.031641,31.23193,30.43222
4,2023-05-22,13:30,31.285,31.399,31.284,31.367,24437720.0,63.62503,31.30076,31.29785,0.37477972,0.46236597,-0.087586252,59.84337,53.6151,30.52,30.64264,0.30926594,31.90152,31.29568,30.68985
5,2023-05-22,14:30,31.36401,31.41485,31.197,31.22301,30513210.0,59.11265,31.29026,31.28288,0.34427284,0.43874734,-0.094474502,49.59003,53.91392,28.57309,-22.80399,0.30273621,31.68014,31.34758,31.015022
6,2023-05-22,15:30,31.225,31.248,31.1025,31.182,28275880.0,57.85417,31.28565,31.26271,0.31317669,0.41363321,-0.10045652,56.91627,55.44989,27.11299,-96.56559,0.29150517,31.67078,31.35298,31.035188
7,2023-05-23,09:30,31.0,31.288,30.98,31.11909,91538990.0,55.88845,31.2691,31.23398,0.28022602,0.38695177,-0.10672575,52.27246,52.92626,26.18795,-112.27463,0.2926835,31.64682,31.33029,31.013754
8,2023-05-23,10:30,31.1215,31.164,30.923,31.047,47853620.0,53.63945,31.24505,31.19659,0.24546586,0.35865459,-0.11318873,43.69051,50.95975,25.52423,-149.010183,0.28899184,31.65409,31.31477,30.97546
9,2023-05-23,11:30,31.05,31.051999,30.715,30.84399,47080830.0,47.80531,31.18381,31.12607,0.19924032,0.32677174,-0.12753141,19.52284,38.49527,25.5682,-223.90211,0.29242096,31.65855,31.27957,30.90059
10,2023-05-23,12:30,30.84599,30.92299,30.695,30.86758,43141490.0,48.5062,31.12991,31.074371,0.16263502,0.29394439,-0.13130937,22.33117,28.51484,25.6691,-207.27002,0.28781858,31.66985,31.25397,30.8381
11,2023-05-23,13:30,30.8625,30.891,30.653,30.693,30011560.0,43.81682,31.069241,30.9981,0.1181755,0.25879062,-0.14061511,4.61353,15.48918,25.89373,-207.62301,0.28426015,31.63001,31.20277,30.77554
12,2023-05-23,14:30,30.68975,30.83,30.631,30.807,40685110.0,47.39329,31.01663,30.95988,0.09108995,0.22525048,-0.13416053,19.7976,15.58077,26.17332,-169.99192,0.27817007,31.5606,31.15922,30.75785
13,2023-05-23,15:30,30.81,30.849,30.678,30.693,32546910.0,44.35273,30.94174,30.9065,0.05973688,0.19214776,-0.13241088,6.97406,10.46173,26.31407,-145.28857,0.270515,31.58551,31.13567,30.68584
14,2023-05-24,09:30,30.21,30.319,29.926,29.92601,121397320.0,30.27828,30.79763,30.7104,-0.026692572,0.1483797,-0.17507227,0.00059295803,8.92409,28.25847,-274.71951,0.30597809,31.76764,31.074725,30.38181
15,2023-05-24,10:30,29.926,30.05,29.806,30.038,78505850.0,33.59194,30.67052,30.57592,-0.085170062,0.10166974,-0.18683981,14.42028,7.13165,30.254,-225.56348,0.30155111,31.81822,31.007325,30.19643
16,2023-05-24,11:30,30.037,30.12,29.903,29.984,49949590.0,32.78286,30.5444,30.45754,-0.13432292,0.054471211,-0.18879413,11.063795,8.49489,31.71965,-176.17656,0.29551184,31.85167,30.94065,30.02963
17,2023-05-24,12:30,29.98427,30.069,29.88808,30.0089905,35435070.0,33.58016,30.42906,30.36783,-0.16930868,0.0097152332,-0.17902391,12.61713,12.7004,33.10842,-150.39515,0.28732673,31.86623,30.87992,29.89362
18,2023-05-24,13:30,30.0049988,30.225,29.94,30.107,43175620.0,36.74887,30.34718,30.31566,-0.18697125,-0.029622063,-0.15734918,18.70908,14.13,33.51539,-115.46754,0.28716058,31.84593,30.82187,29.79782
19,2023-05-24,14:30,30.107,30.543,29.981,30.53798,78406120.0,48.40515,30.31055,30.36013,-0.16429867,-0.056557385,-0.10774129,49.3913,26.90583,32.38483,-65.58151,0.30679194,31.79581,30.7856,29.77538
20,2023-05-24,15:30,30.53797,30.607,30.32201,30.541,76984590.0,48.47683,30.29366,30.3963,-0.1444219,-0.074130287,-0.070291611,49.59516,39.23184,31.066665,-39.037595,0.30523476,31.71803,30.74289,29.76775
21,2023-05-25,09:30,38.523,38.599,36.635,38.357,642922080.0,89.42175,31.13255,31.98844,0.49629551,0.039954872,0.45634064,97.24783,65.41143,34.453,575.95193,0.85900361,34.55445,31.093108,27.63177
22,2023-05-25,10:30,38.357,39.48,37.99,38.948,265056860.0,90.064684,32.049776,33.38035,1.039772,0.23991822,0.7998534,94.50075,80.44791,37.73249,356.10906,0.90407474,36.3491,31.47856,26.60802
